occupation,correction
Maid Domestic Servant,Maid Domestic Servant
Railway Fireman,Railway Fireman
Clark,Clark
Clerk Commercial,Commercial Clerk
F Labourer,Agricultural Labourer
Factory Labourer,Factory Labourer
Hackney Car Driver,Hackney Car Driver
Private Income,Private Means
Pawnbroker,Pawnbroker
Tram Driver,Tram Driver
Retired Draper,Retired Draper
Cashier,Cashier
Prostitute,Prostitute
Sales Woman,Saleswoman
Auctioneer,Auctioneer
Farmer's Grandson,Farmer's Grandson
House Worker,House Worker
Shop Messenger,Shop Messenger
Weaver Cambric,Cambric Weaver
Gardener Domestic,Gardener Domestic Servant
Paper Bag Maker,Paper Bag Maker
Artist,Artist
R I C Pensioner,Police Pensioner
Miner,Miner
Roomkeeper,Roomkeeper
Nailor,Nailor
Stocking Knitter,Stocking Knitter
Cambrick Weaver,Cambric Weaver
Horse Shoer,Horseshoer
Navvy,Railway Navvy
Post Office Clerk,Post Office Clerk
Assurance Agent,Assurance Agent
Gas Fitter,Gasfitter
Smiths Helper,Smith's Assistant
Trained Nurse,Trained Nurse
Weaver Damask,Damask Weaver
Domestic Servant Coachman,Coachman Domestic Servant
Doffer in Mill,Mill Doffer
Labourer on Farm,Agricultural Labourer
Shop Man,Shopman
Agent,Agent
Cannot read,189
"Cook, Domestic Servant",Cook Domestic Servant
Electrical Engineer,Electrical Engineer
Labourer in Ship Yard,Shipyard Labourer
Servant Boy,Servant Boy
Pensioner R I C,Police Pensioner
Bookbinder,Bookbinder
Laundress Domestic Servant,Laundress Domestic Servant
Licensed Publican,Publican
Pupil Teacher,Teacher
Clerk Unemployed,Unemployed Clerk
Farm Servent,Farm Servant
Marine Engineer,Marine Engineer
Messenger Boy,Messenger Boy
Not Going to School,Not Going to School
Pilot,Pilot
Sexton,Sexton
Slater and Plasterer,Slater and Plasterer
Wine Merchant,Wine Merchant
Assistant Draper,Draper's Assistant
Assistant Grocer,Grocer's Assistant
Home,Housework
Lady Clerk,Clerk
Car Proprietor,Car Proprietor
Egg Dealer,Egg Dealer
N Teacher,National School Teacher
Works on Farm,Agricultural Labourer
Farm Servants,Farm Servant
Linen Reeler,Linen Reeler
Mercantile Clerk,Mercantile Clerk
Shipping Clerk,Shipping Clerk
Methodist Minister,Minister
Postmaster,Postmaster
Farm Work,Agricultural Labourer
Labourer in Brewery,Brewery Labourer
Corn Merchant,Corn Merchant
Clothier,Clothier
Egg Merchant,Egg Merchant
Reeler in Spinning Mill,Spinning Mill Reeler
A Farmer,Farmer
Domestic House Keeper,Housekeeper Domestic Servant
Famer,Farmer
Quarry Man,Quarryman
Rural Post Man,Rural Postman
Stable Man,Stableman
Yarn Dresser,Yarn Dresser
Domestic Duties,Housework
Ropemaker,Ropemaker
Architect,Architect
Coach Man Domestic Servant,Coachman Domestic Servant
Cycle Mechanic,Cycle Mechanic
Driver,Driver
Farmer and Miller,Farmer and Miller
Flaxdresser,Flax Dresser
Bank Porter,Bank Porter
Hardware Assistant,Hardware Assistant
Interest on Money,Interest on Money
Millwright,Millwright
Shop Keeper Grocer,Grocer Shopkeeper
Teacher of Music,Music Teacher
Cholar,Scholar
Contractor,Contractor
Cork Cutter,Cork Cutter
Parlour Maid Domestic,Parlourmaid Domestic Servant
Relieving Officer,Relieving Officer
Solicitors Managing Clerk,Solicitor's Managing Clerk
General Clerk,General Clerk
Retired Merchant,Retired Merchant
F Servant,Farm Servant
Manager,Manager
Railway Stationmaster,Railway Stationmaster
Clerk Railway,Railway Clerk
General Labouer,General Labourer
Hardware Merchant,Hardware Merchant
Market Gardener,Market Gardener
Tea Merchant,Tea Merchant
Tramp,Tramp
F Wife,Farmer's Wife
Matron,Matron
Reeler Linen,Linen Reeler
Servant Cook,Cook Domestic Servant
Yard Man,Yardman
Boot Closer,Boot Closer
Driller,Driller
Foundry Labourer,Foundry Labourer
Mother,Mother
Woolen Weaver,Woolen Weaver
Domestic Servant Gardener,Gardener Domestic Servant
Farmes Son,Farmer's Son
Grocer and Farmer,Farmer and Grocer
