Reead write,Read Write
Cannot Either,Illiterate
Read little,Read
Re and rite,Read Write
Cnnot read,Illiterate
Canot red or write,Illiterate
Yes r w,Read Write
Rite reed,Read Write
Cannot read or wre,Illiterate
Reaad write,Read Write
Reading and writing,Read Write
Can read and wte,Read Write
Can r a r,Read Write
Write and Read,Read Write
Rd wrt,Read Write
Read read,Read Write
Not rite,Read
Can and read,Read Write
Read or wright,Read Write
Cant reed nor writ,Illiterate
Cannot read wrte,Illiterate
Reads wright,Read Write
W and r,Read Write
Read writee,Read Write
Scholler,Read Write
To young,Illiterate
Cant red or write,Illiterate
Dont know,Unknown
He cannot read,Illiterate
Reed onely,Read
Reaid and rite,Read Write
Cannot read wrt,Illiterate
Cannot writ,Read
Scholer,Read Write
R,Read
Read a wr,Read Write
Can read and rit,Read Write
W and read,Read Write
Canot read or writ,Illiterate
Riad wirte,Read Write
Read and not rite,Read
Could read,Read
Neighter read nor write,Illiterate
Write and r,Read Write
Booth,Read Write
Cannot read etc,Illiterate
Fairly educated,Read Write
Can rd a write,Read Write
Can red only,Read
Can re and wr,Read Write
Yes read,Read
Read wight,Read Write
Can Read Write,Read Write
Ride and rite,Read Write
Canont read,Illiterate
Cannnot read,Illiterate
Read yes and write,Read Write
Canot read and rite,Illiterate
Read a rit,Read Write
Read canot write,Read
Read and ri,Read Write
write,Write
No Cannot read,Illiterate
Cnt read,Illiterate
Read righ,Read Write
Can read rit,Read Write
Not r write,Illiterate
Read at write,Read Write
Ree and write,Read Write
Neither can read or write,Illiterate
Spell,Unknown
English educated,Read Write
Read and write at school,Read Write
No read and write,Illiterate
Writ read,Read Write
Read both write,Read Write
Can rd and w,Read Write
Too Young,Illiterate
Read and wriete,Read Write
C r,Read
Red and wrte,Read Write
Read W,Read Write
Neither read,Illiterate
Not Read,Illiterate
Cholar,Read Write
Not read and rite,Illiterate
Canot r,Illiterate
Cannot read or wrigt,Illiterate
Write-r,Read Write
Can read and wt,Read Write
Cannot nor write,Illiterate
Read whrite,Read Write
Going school,Read Write
Read and write scholars,Read Write
Read and writie,Read Write
Cannot rd write,Illiterate
English education,Read Write
Re,Read
Riad only,Read
Not read nor w,Illiterate
Rede wright,Read Write
Can write and read well,Read Write
Reader and writer,Read Write
Reading,Read
Cannot read nor wr,Illiterate
Both r write,Read Write
Red a write,Read Write
Cannot wread or write,Illiterate
Cannot Rd,Illiterate
Nill cannot read,Illiterate
Under age,Illiterate
Can w and write,Read Write
Reead rite,Read Write
Cannot reead,Illiterate
Reading writing,Read Write
Reid an right,Read Write
R yes w,Read Write
Both read rite,Read Write
Cannot right,Read
Read and wrthe,Read Write
Cant do either,Illiterate
Read write both,Read Write
Neighter read or write,Illiterate
Rand and write,Read Write
To Young,Illiterate
Wread and rite,Read Write
Neither r or write,Illiterate
Neither r w,Illiterate
Conot read,Illiterate
No neither,Illiterate
Read wrigte,Read Write
Write and reid,Read Write
Connot reod,Illiterate
Canot read or wr,Illiterate
Read wirte,Read Write
Yes write,Read Write
Rad and rite,Read Write
Reid and ritt,Read Write
Both rd and write,Read Write
Readd and write,Read Write
Read and write boath,Read Write
Redd and rite,Read Write
Read and writi,Read Write
Cannot read Infant,Illiterate
Red rit,Read Write
Cannot read nil,Illiterate
No No,Illiterate
Dont read nor write,Illiterate
Cannot re or w,Illiterate
Read and write can do both,Read Write
Can read a w,Read Write
None cannot read,Illiterate
Can read or right,Read Write
C r and write,Read Write
Cant wright,Read
Reat write,Read Write
Read and kite,Read Write
Canott,Illiterate
Cant read cant write,Illiterate
Can read or wright,Read Write
Cant r write,Illiterate
Not reade,Illiterate
Reede and rite,Read Write
R-write,Read Write
