Roman Catholic,Roman Catholic.1,Classification,Orientation,Theology,Polity
R R,R R,Unknown,Unknown,Unknown,Unknown
Protestant-Episcoplian,Protestant-Episcoplian,Unknown,Unknown,Unknown,Unknown
R. I. C. Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Epscoplian Protestant ?,Epscoplian Protestant ?,Unknown,Unknown,Unknown,Unknown
St Ans Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholic R Catholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Coy Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestan Episcopal Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Catholics C,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Ca? Church,R Ca? Church,Unknown,Unknown,Unknown,Unknown
Lecularist,Lecularist,Unknown,Unknown,Unknown,Unknown
Prepbeterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Congernational Church,Congernational Church,Unknown,Unknown,Unknown,Unknown
Presybytern,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catrlice,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Highland,Protestant Highland,Unknown,Unknown,Unknown,Unknown
Prospeterian Church,Prospeterian Church,Unknown,Unknown,Unknown,Unknown
Prespretation Church,Prespretation Church,Unknown,Unknown,Unknown,Unknown
Churcho Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prodestin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Epescopalian Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Melling Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Uniatarian,Unitarian,Christianity,Liberal,Nontrinitarian,Congregational
Christian Commonly Catholic Brethren,Christian Commonly Catholic Brethren,Unknown,Unknown,Unknown,Unknown
Pabtist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Plymouth Park Church,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Cathlioct,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Cr,Protestant Cr,Unknown,Unknown,Unknown,Unknown
Congrearational,Congrearational,Unknown,Unknown,Unknown,Unknown
R Catholicea,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C A,R C A,Unknown,Unknown,Unknown,Unknown
Cahtholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Congrationist,Congrationist,Unknown,Unknown,Unknown,Unknown
Catlice,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Callaghan,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbetaron,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Clergyman Ch Ireland,Clergyman Ch Ireland,Unknown,Unknown,Unknown,Unknown
Prestybyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prestybterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathiolace,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Non Subscriber Presby,Non Subscriber Presby,Unknown,Unknown,Unknown,Unknown
Presbyteration,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespitiarn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prresbyteian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
(Attender) Presbyterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Epispelian Church,Epispelian Church,Unknown,Unknown,Unknown,Unknown
Rom Catk,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathlc Church,Cathlc Church,Unknown,Unknown,Unknown,Unknown
Roman Cathlilc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ranor Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisbtieran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbytiren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Pres Ch in Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Member of Presbyterian Church,Member of Presbyterian Church,Unknown,Unknown,Unknown,Unknown
Roman Calitic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Relige,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catchclick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epescpelian,Epescpelian,Unknown,Unknown,Unknown,Unknown
Prepresbetiran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathlotic Church,Cathlotic Church,Unknown,Unknown,Unknown,Unknown
U F Ch of Scotand,U F Ch of Scotand,Unknown,Unknown,Unknown,Unknown
Church of England Christ Church,Church of England Christ Church,Unknown,Unknown,Unknown,Unknown
Church of Ire Episcopalian,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Cautlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prisbtyeran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbtyerean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
United Free Church of Scotd,United Free Church of Scotd,Unknown,Unknown,Unknown,Unknown
Protestant I C Belong to Aghavea Church,Protestant I C Belong to Aghavea Church,Unknown,Unknown,Unknown,Unknown
Chuch of Rom,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Brethren (Merrion Hall Dublin),Brethren (Merrion Hall Dublin),Unknown,Unknown,Unknown,Unknown
Congagalists,Congagalists,Unknown,Unknown,Unknown,Unknown
Salvation Army ?,Salvation Army ?,Unknown,Unknown,Unknown,Unknown
Presbyttarian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbatren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbtrian Chuh,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbation,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespyteren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prestant Episcopalian,Prestant Episcopalian,Unknown,Unknown,Unknown,Unknown
Brethren so called,Brethren so called,Unknown,Unknown,Unknown,Unknown
Presbytorain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catocholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catlochc,R Catlochc,Unknown,Unknown,Unknown,Unknown
Good Another Papist,Good Another Papist,Unknown,Unknown,Unknown,Unknown
Roman Catthllic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catoelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholick (Roman),Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catoholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Both Roman,Both Roman,Unknown,Unknown,Unknown,Unknown
Irischpolin,Irischpolin,Unknown,Unknown,Unknown,Unknown
Roman Catholuck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catholic Romchtick,R Catholic Romchtick,Unknown,Unknown,Unknown,Unknown
Catholic St Keavens,Catholic St Keavens,Unknown,Unknown,Unknown,Unknown
Roman Catholic Curch of St Andrew,Roman Catholic Curch of St Andrew,Unknown,Unknown,Unknown,Unknown
Roan Cathelic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roan Catholice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman C Catholc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Fo R Catholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Religan Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholcke,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Information Refused,Protestant Information Refused,Unknown,Unknown,Unknown,Unknown
Boarders Catholics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catloole,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Claterlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rome Cathol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic I Church,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Eng Church,Protestant Eng Church,Unknown,Unknown,Unknown,Unknown
Rectr Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Ieparatist,Ieparatist,Unknown,Unknown,Unknown,Unknown
Undenominal Christian,Undenominal Christian,Unknown,Unknown,Unknown,Unknown
Presptean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Free United Church Scotland,Free United Church Scotland,Unknown,Unknown,Unknown,Unknown
Plsnath Breathren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Roman Caterlic R Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cattico,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathllic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church of Ireland W H,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Cumber,Cumber,Unknown,Unknown,Unknown,Unknown
Lower Cumber Presbyterian Church,Lower Cumber Presbyterian Church,Unknown,Unknown,Unknown,Unknown
Prsbystern,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Cathod,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catlod,Catlod,Unknown,Unknown,Unknown,Unknown
R Caholice,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathorlics,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cahiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catheloe,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
New Churchman,New Churchman,Unknown,Unknown,Unknown,Unknown
Catholic R O,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catherlk,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R C Caholic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Church of Irelan,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Prot I C,Prot I C,Unknown,Unknown,Unknown,Unknown
Church Roman Catick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Anabaptist,Baptist,Christianity,Protestant,Trinitarian,Congregational
Weslyan Methodists,Methodist,Christianity,Protestant,Trinitarian,Connexional
R Cathaloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cetholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Consecrated to the Children of Mary R Catholic,Consecrated to the Children of Mary R Catholic,Unknown,Unknown,Unknown,Unknown
Roman Cathlict,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathiluck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Curch Mission,Irish Curch Mission,Unknown,Unknown,Unknown,Unknown
Roman Chahtic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romen Catrlich,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic S G,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romon Catholi,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chatolices,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathico,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prskapelin C,Prskapelin C,Unknown,Unknown,Unknown,Unknown
Roman Catholic Clergman,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Epispolitian,Epispolitian,Unknown,Unknown,Unknown,Unknown
Roman Catics,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Protestantant,Irish Church Protestantant,Unknown,Unknown,Unknown,Unknown
Roman Caltholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholice M,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Westland Rom,Westland Rom,Unknown,Unknown,Unknown,Unknown
Catlic R,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Premeture Methodist,Methodist,Christianity,Protestant,Trinitarian,Connexional
R C Clergyman P P,R C Clergyman P P,Unknown,Unknown,Unknown,Unknown
Presbetairn Church,Presbetairn Church,Unknown,Unknown,Unknown,Unknown
Roman Cathilos,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Religeon,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ronin Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholhs,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Cathloeic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman C Chrc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Primdire Methodist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Meeting with Open Brethren Christian,Meeting with Open Brethren Christian,Unknown,Unknown,Unknown,Unknown
New Conexion,New Conexion,Unknown,Unknown,Unknown,Unknown
Protestant of St Mark's Church,Protestant of St Mark's Church,Unknown,Unknown,Unknown,Unknown
Protestant of Dundela Church,Protestant of Dundela Church,Unknown,Unknown,Unknown,Unknown
Presbytherean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prebsbyterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Commonly called Plymouth Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Esphelian,Esphelian,Unknown,Unknown,Unknown,Unknown
Prebysterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Christians or Brethern,Christians or Brethern,Unknown,Unknown,Unknown,Unknown
Gospel Hall,Gospel Hall,Unknown,Unknown,Unknown,Unknown
Known by ? Brethern,Known by ? Brethern,Unknown,Unknown,Unknown,Unknown
?Brethern,?Brethern,Unknown,Unknown,Unknown,Unknown
Prepteria,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespter,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespteria,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathoths,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rom Chatholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Glenaglory Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Grek Church,Grek Church,Unknown,Unknown,Unknown,Unknown
Clerk in Holy Orders Irish Church,Clerk in Holy Orders Irish Church,Unknown,Unknown,Unknown,Unknown
Non Subscribing Presbetyrian,Non Subscribing Presbetyrian,Unknown,Unknown,Unknown,Unknown
Religion Unknown,Religion Unknown,Unknown,Unknown,Unknown,Unknown
Salvation Army Officer,Salvation Army Officer,Unknown,Unknown,Unknown,Unknown
Epescopalien,Epescopalien,Unknown,Unknown,Unknown,Unknown
Church of Ireland Low Church,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Irish Church Rathgar,Irish Church Rathgar,Unknown,Unknown,Unknown,Unknown
Romnian Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Episcopapian,Episcopapian,Unknown,Unknown,Unknown,Unknown
Episcopobian,Episcopobian,Unknown,Unknown,Unknown,Unknown
Prebresterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
C o Scotland,C o Scotland,Unknown,Unknown,Unknown,Unknown
Church of England Prostestant,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcoplian E C,Episcoplian E C,Unknown,Unknown,Unknown,Unknown
Protest Chof Switzerland,Protest Chof Switzerland,Unknown,Unknown,Unknown,Unknown
Roam Catholit,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prodnestent Irish Church,Prodnestent Irish Church,Unknown,Unknown,Unknown,Unknown
Romin Cahlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant Belong to Denom,Protestant Belong to Denom,Unknown,Unknown,Unknown,Unknown
Belong to No Denomination,Belong to No Denomination,Unknown,Unknown,Unknown,Unknown
Belong to no Denomination or Church,Belong to no Denomination or Church,Unknown,Unknown,Unknown,Unknown
Rn Catholi,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Protestant St Thomas P Church,Protestant St Thomas P Church,Unknown,Unknown,Unknown,Unknown
Roman Caihlice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian of Ireland,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rom Cathero,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catherol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Chalice Church,Chalice Church,Unknown,Unknown,Unknown,Unknown
English C Church,English C Church,Unknown,Unknown,Unknown,Unknown
Rn Cathorlick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Clholick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Chalithice,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyterian Street Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespitran,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Scotsh C H,Scotsh C H,Unknown,Unknown,Unknown,Unknown
Roman Cathlyk,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
I C St Mathiess,I C St Mathiess,Unknown,Unknown,Unknown,Unknown
Church of Ireland Protestant Regtion,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Roman Chatolicks,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Church Iirland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Religon,Religon,Unknown,Unknown,Unknown,Unknown
Prsbyterain,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Law Church,Law Church,Unknown,Unknown,Unknown,Unknown
Chirch of Iriland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbetean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Covenautar,Covenautar,Unknown,Unknown,Unknown,Unknown
Church of Ireland of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Presbtryerian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Rathfarnham Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Catha?ran,Catha?ran,Unknown,Unknown,Unknown,Unknown
Catha?,Catha?,Unknown,Unknown,Unknown,Unknown
Soldierstoney Irish Church,Soldierstoney Irish Church,Unknown,Unknown,Unknown,Unknown
Ra Cathorlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prispeterion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Priot Episcopal,Priot Episcopal,Unknown,Unknown,Unknown,Unknown
Prespeytaine,Prespeytaine,Unknown,Unknown,Unknown,Unknown
Catho R,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Desenter,Desenter,Unknown,Unknown,Unknown,Unknown
Church of Locle,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Cathck,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Canthc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catollich Christ,Catollich Christ,Unknown,Unknown,Unknown,Unknown
Presbyterian Great James,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterian Rean Church,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbyterian Elrisyton Presbyter,Presbyterian Elrisyton Presbyter,Unknown,Unknown,Unknown,Unknown
Presptian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbiteion,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prspyterranean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Ramen Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
P Church Prsbytrn Church,P Church Prsbytrn Church,Unknown,Unknown,Unknown,Unknown
R C Sister of Mercy,R C Sister of Mercy,Unknown,Unknown,Unknown,Unknown
Romn Cathl,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Regeligon,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Rm Caths Church,Rm Caths Church,Unknown,Unknown,Unknown,Unknown
R Catcholck,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catothic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Re,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romon Cathloic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Protestent,Irish Church Protestent,Unknown,Unknown,Unknown,Unknown
Roman Catcholece,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catholic Designated by the King Idolatter,Roman Catholic Designated by the King Idolatter,Unknown,Unknown,Unknown,Unknown
C H England,C H England,Unknown,Unknown,Unknown,Unknown
R Chalothlic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Ram Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Prepyterranean,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Disscutes,Disscutes,Unknown,Unknown,Unknown,Unknown
Roman Catholic but not an Idolator as Alleged,Roman Catholic but not an Idolator as Alleged,Unknown,Unknown,Unknown,Unknown
Roman Catchlor,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
St Stephens Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
St John Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Churh of England,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Apostolic Episcopalian,Apostolic Episcopalian,Unknown,Unknown,Unknown,Unknown
R C Chatolick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chathilo,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Religion Roma,Religion Roma,Unknown,Unknown,Unknown,Unknown
Roman Catohick,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catheal,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catolic R,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chalioc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Church Protestant St Peter's,Irish Church Protestant St Peter's,Unknown,Unknown,Unknown,Unknown
Protestant St Peter's Irish Church,Protestant St Peter's Irish Church,Unknown,Unknown,Unknown,Unknown
R Catholilc,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catheocolic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Pryblgterian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presptering Chur,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbtrin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Presbytriend,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Coholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Cathecolic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Caththic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Adventist,Seventh-day Adventist,Christianity,Protestant,Trinitarian,Presbyterian
Methoidost,Methodist,Christianity,Protestant,Trinitarian,Connexional
To Called Plymouth Brethren,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
St Patrick R C,St Patrick R C,Unknown,Unknown,Unknown,Unknown
Roman Cathge,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Methidost New Conexion,Methidost New Conexion,Unknown,Unknown,Unknown,Unknown
Catrilick,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbetarna,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Catchiloc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catolick Chur,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Irish Established Church or Episcopal Church,Irish Established Church or Episcopal Church,Unknown,Unknown,Unknown,Unknown
Roam Cataholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roam Calthaolic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Romans,Romans,Unknown,Unknown,Unknown,Unknown
Irish Catholic Roman,Irish Catholic Roman,Unknown,Unknown,Unknown,Unknown
Church of PresIreland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Episcopana,Episcopana,Unknown,Unknown,Unknown,Unknown
United free Church,United free Church,Unknown,Unknown,Unknown,Unknown
Meets with Christians Commenly called Brethren,Meets with Christians Commenly called Brethren,Unknown,Unknown,Unknown,Unknown
Prespetririn,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prespetrerin,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prispeternian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Prispeteren,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Preysbertains,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Catrilk,Catrilk,Unknown,Unknown,Unknown,Unknown
Roman Cathll,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catcholi,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholan,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Catheloc Church,R Catheloc Church,Unknown,Unknown,Unknown,Unknown
Up Cumber,Up Cumber,Unknown,Unknown,Unknown,Unknown
Weslayen Methodist,Methodist,Christianity,Protestant,Trinitarian,Connexional
Brethrenn,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Church of Irlland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
R Catlike,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Chathrnlic,Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Caith,R Caith,Unknown,Unknown,Unknown,Unknown
Catholic Religion Church,Catholic Religion Church,Unknown,Unknown,Unknown,Unknown
Irish National Church,Irish National Church,Unknown,Unknown,Unknown,Unknown
Rom Cathhlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Catlcol,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Family Roam Cat,Family Roam Cat,Unknown,Unknown,Unknown,Unknown
Rmn Cathlc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cotheick,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Catholic Roman Church of Rome,Catholic Roman Church of Rome,Unknown,Unknown,Unknown,Unknown
Cathoan,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Cathalan,Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Coliace,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Membrs of Church of Ireland,Church of Ireland,Christianity,Protestant,Trinitarian,Episcopal
Baker Master,Baker Master,Unknown,Unknown,Unknown,Unknown
P B N,P B N,Unknown,Unknown,Unknown,Unknown
P B M,P B M,Unknown,Unknown,Unknown,Unknown
Presbertearian,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Roman Cathollce,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
R Caculight,R Caculight,Unknown,Unknown,Unknown,Unknown
Protestant Domestic,Protestant Domestic,Unknown,Unknown,Unknown,Unknown
Plymouth Brethn Christian,Plymouth Brethren,Christianity,Protestant,Trinitarian,Congregational
Rom Catholoc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Roman Chtc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Presbyteariam,Presbyterian,Christianity,Protestant,Trinitarian,Presbyterian
Westbourne,Westbourne,Unknown,Unknown,Unknown,Unknown
R Catclic Church,R Catclic Church,Unknown,Unknown,Unknown,Unknown
Roman Catrc,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Conleits Church Roman Catholic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
Religion Cathlic,Roman Catholic,Christianity,Catholic,Trinitarian,Episcopal
