name,gender,NI_AppRank
JAYCE,M,rare
JAYDAN,M,rare
JAYDE,F,rare
JAYDEN,M,common
JAYDON,M,rare
JAYLA,F,rare
JAYNE,F,common
JAYSON,M,rare
JAZMIN,F,uncommon
JAZMINE,F,rare
JEAN,F,rare
JED,M,uncommon
JEFFREY,M,rare
JEMIMA,F,rare
JEMMA,F,common
JENA,F,rare
JENNA,F,basic
JENNI,F,uncommon
JENNIE,F,rare
JENNIFER,F,basic
JENNY,F,basic
JENSEN,M,uncommon
JENSON,M,common
JEREMY,M,rare
JEROME,M,uncommon
JERSEY,F,rare
JESSE,M,common
JESSE,F,rare
JESSICA,F,basic
JESSIE,F,common
JETHRO,M,rare
JETT,M,rare
JIA,M,rare
JIA,F,rare
JILL,F,common
JILLIAN,F,rare
JIM,M,uncommon
JIMMY,M,rare
JOANNA,F,basic
JOANNE,F,common
JOAO,M,rare
JODI,F,common
JODIE,F,basic
JODY,M,uncommon
JODY,F,uncommon
JOE,M,basic
JOEL,M,basic
JOEY,M,common
JOHANNA,F,uncommon
JOHN,M,basic
JOHNATHAN,M,common
JOHNATHON,M,rare
JOHNNIE,M,rare
JOHNNY,M,common
JOKUBAS,M,rare
JOLENE,F,rare
JOLIE,F,rare
JON,M,uncommon
JONAH,M,common
JONAS,M,uncommon
JONATHAN,M,basic
JONATHON,M,uncommon
JONI,F,rare
JONJO,M,rare
JONNY,M,rare
JORDAN,M,basic
JORDAN,F,uncommon
JORDON,M,uncommon
JORDYN,F,rare
JORGIA,F,rare
JORGIE,F,rare
JORIS,M,rare
JORJA,F,common
JOSE,M,rare
JOSEF,M,rare
JOSEPH,M,basic
JOSEPHINE,F,common
JOSH,M,basic
JOSHUA,M,basic
JOSIAH,M,uncommon
JOSIE,F,uncommon
JOSS,M,rare
JOY,F,common
JUDAH,M,rare
JUDE,M,basic
JUDE,F,uncommon
JUDITH,F,uncommon
JUDY,F,rare
JULIA,F,basic
JULIAN,M,rare
JULIANA,F,rare
JULIANNA,F,rare
JULIE,F,common
JULIET,F,rare
JULIETTE,F,uncommon
JUN,M,rare
JUNIOR,M,common
JUNO,F,rare
JUSTIN,M,basic
JUSTINAS,M,rare
JUSTINE,F,rare
KACEY,F,common
KACI,F,common
KACIE,F,uncommon
KACPER,M,common
KADE,M,rare
KADEN,M,uncommon
KADIE,F,rare
KADY,F,rare
KADYN,M,rare
KAELA,F,rare
KAELAH,F,rare
KAELUM,M,rare
KAI,M,basic
KAIA,F,rare
KAIDEN,M,uncommon
KAILA,F,rare
KAILEIGH,F,rare
KAILEY,F,rare
KAIN,M,uncommon
KAITLIN,F,basic
KAITLYN,F,basic
KAITLYNN,F,rare
KAIYA,F,rare
KAJA,F,rare
KAJUS,M,uncommon
KALEB,M,uncommon
KALEM,M,rare
KALI,F,rare
KALLIE,F,rare
KALLUM,M,rare
KALUM,M,rare
KALVIN,M,rare
KAMIL,M,rare
KAMILE,F,uncommon
KANE,M,common
KARA,F,basic
KAREN,F,common
KARINA,F,uncommon
KARIS,F,uncommon
KARL,M,basic
KARLA,F,common
KARLEY,F,rare
KARLIE,F,rare
KARLY,F,rare
KAROL,M,uncommon
KAROLINA,F,common
KARSON,M,rare
KARTER,M,rare
KARYS,F,rare
KASEY,F,uncommon
KASON,M,rare
KASSIE,F,rare
KATARZYNA,F,rare
KATE,F,basic
KATELIN,F,rare
KATELYN,F,basic
KATELYNN,F,rare
