name,gender,NI_appFrac,NI_avgVal,SC_appFrac,SC_avgVal,EW_appFrac,EW_avgVal,UK_appFrac,UK_avgVal
ISCHIA,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISEABAIL,F,0.0,0.0,0.31,1.31,0.033,3.0,0.114,1.437
ISEABAL,F,0.0,0.0,0.167,1.0,0.0,0.0,0.056,0.333
ISEABEL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISEABHAIL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISEAN,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISEBELLE,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISELA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISELIN,F,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
ISEULT,F,0.0,0.0,0.0,0.0,0.067,3.0,0.022,1.0
ISFAHAN,M,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
ISFAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISFANDIAR,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISH,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHA,F,0.0,0.0,0.571,3.21,0.667,90.65,0.413,31.287
ISHA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHAA,F,0.0,0.0,0.024,1.0,0.267,4.37,0.097,1.79
ISHAAC,M,0.0,0.0,0.0,0.0,0.067,3.0,0.022,1.0
ISHAAL,F,0.0,0.0,0.048,1.0,0.367,6.27,0.138,2.423
ISHAAN,M,0.0,0.0,0.167,1.43,0.567,40.94,0.245,14.123
ISHAANI,F,0.0,0.0,0.0,0.0,0.133,5.5,0.044,1.833
ISHAAQ,M,0.0,0.0,0.024,1.0,0.567,17.18,0.197,6.06
ISHAAYU,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHABEL,F,0.0,0.0,0.071,1.0,0.0,0.0,0.024,0.333
ISHABELLE,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHAH,F,0.0,0.0,0.048,1.0,0.133,4.25,0.06,1.75
ISHAI,M,0.0,0.0,0.048,1.0,0.0,0.0,0.016,0.333
ISHAK,M,0.0,0.0,0.048,1.0,0.467,4.71,0.172,1.903
ISHAL,F,0.0,0.0,0.024,2.0,0.067,3.5,0.03,1.833
ISHAN,M,0.0,0.0,0.19,1.37,0.633,20.05,0.274,7.14
ISHANA,F,0.0,0.0,0.048,1.0,0.433,5.0,0.16,2.0
ISHANI,F,0.0,0.0,0.071,1.0,0.567,11.88,0.213,4.293
ISHANJEET,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHANVI,F,0.0,0.0,0.024,1.0,0.1,4.0,0.041,1.667
ISHAQ,M,0.0,0.0,0.214,1.33,0.633,31.47,0.282,10.933
ISHAQUE,M,0.0,0.0,0.0,0.0,0.067,3.0,0.022,1.0
ISHAR,M,0.0,0.0,0.024,1.0,0.133,3.25,0.052,1.417
ISHARA,F,0.0,0.0,0.048,1.0,0.033,3.0,0.027,1.333
ISHATI,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHAYU,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHBAL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHBEAL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHBEL,F,0.0,0.0,0.929,3.59,0.6,6.0,0.51,3.197
ISHBELL,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHBELLE,F,0.0,0.0,0.071,1.0,0.0,0.0,0.024,0.333
ISHE,M,0.0,0.0,0.0,0.0,0.1,3.67,0.033,1.223
ISHEANESU,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISHER,F,0.0,0.0,0.0,0.0,0.2,3.67,0.067,1.223
ISHER,M,0.0,0.0,0.048,1.0,0.267,4.5,0.105,1.833
ISHFA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHFAQ,M,0.0,0.0,0.048,1.0,0.067,3.0,0.038,1.333
ISHI,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHIAKAISHI,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHIKA,F,0.0,0.0,0.048,1.0,0.533,13.0,0.194,4.667
ISHIKAA,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHITA,F,0.0,0.0,0.048,1.0,0.433,7.38,0.16,2.793
ISHITHA,F,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISHKA,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHKA,F,0.0,0.0,0.024,1.0,0.033,3.0,0.019,1.333
ISHLEEN,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHMAAN,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHMAEL,M,0.0,0.0,0.095,1.0,0.633,15.21,0.243,5.403
ISHMAIL,M,0.0,0.0,0.024,1.0,0.467,4.21,0.164,1.737
ISHMAM,M,0.0,0.0,0.0,0.0,0.1,3.33,0.033,1.11
ISHMAR,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHMEAL,M,0.0,0.0,0.0,0.0,0.033,3.0,0.011,1.0
ISHMEET,F,0.0,0.0,0.024,1.0,0.2,5.17,0.075,2.057
ISHMEET,M,0.0,0.0,0.024,1.0,0.033,5.0,0.019,2.0
ISHMEHAR,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHMILE,M,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHNEET,F,0.0,0.0,0.0,0.0,0.033,4.0,0.011,1.333
ISHORAT,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
ISHPREET,F,0.0,0.0,0.024,1.0,0.133,3.0,0.052,1.333
ISHRAQ,M,0.0,0.0,0.0,0.0,0.233,4.0,0.078,1.333
ISHRAQ,F,0.0,0.0,0.024,1.0,0.0,0.0,0.008,0.333
