name,gender,CN_AppRank,IRE1901_AppRank,IRE1911_AppRank,EW_AppRank,SC_AppRank,NI_AppRank,UK_AppRank,USA_AppRank,isBCenter,isBWizard,isBNames,origin,Total_AppRank
AAKRITI,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,Indian,rare
AALA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALAA,F,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AALAYAH,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALEIGHA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALEYAH,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALIA,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALIAH,F,rare,unused,unused,common,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALIM,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALISHA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALIYA,F,uncommon,unused,unused,common,rare,unused,rare,rare,1.0,1.0,0.0,,rare
AALIYAH,F,common,unused,unused,common,uncommon,common,common,uncommon,1.0,1.0,1.0,Arabic,uncommon
AALIYHA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALLIYAH,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALYA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AALYAH,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMAL,F,rare,unused,unused,rare,rare,unused,rare,unused,1.0,0.0,0.0,,rare
AAMANEE,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMAR,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMENA,F,rare,unused,unused,common,unused,unused,rare,rare,1.0,0.0,0.0,,rare
AAMER,M,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMILAH,F,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMINA,F,uncommon,unused,unused,common,uncommon,unused,uncommon,rare,0.0,0.0,1.0,Arabic,rare
AAMINAH,F,uncommon,unused,unused,common,uncommon,unused,uncommon,rare,1.0,0.0,1.0,Arabic,rare
AAMIR,M,uncommon,unused,unused,common,uncommon,unused,uncommon,uncommon,1.0,0.0,1.0,Arabic,rare
AAMIRA,F,rare,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AAMNA,F,uncommon,unused,unused,common,uncommon,unused,uncommon,rare,1.0,1.0,0.0,,rare
AANAYA,F,unused,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AANIKA,F,rare,unused,unused,rare,rare,unused,rare,rare,1.0,0.0,0.0,,rare
AANISAH,F,unused,unused,unused,uncommon,rare,unused,rare,rare,1.0,0.0,0.0,,rare
