name,gender,AB_appFrac,AB_avgVal,BC_appFrac,BC_avgVal,OT_appFrac,OT_avgVal,CN_appFrac,CN_avgVal
DAVINE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVINEY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVINIA,F,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAVINNA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVION,M,0.115,1.0,0.0,0.0,0.01,5.0,0.042,2.0
DAVIS,M,0.962,10.96,0.28,8.79,0.01,5.0,0.417,8.25
DAVIS,F,0.308,1.0,0.0,0.0,0.01,5.0,0.106,2.0
DAVISON,M,0.154,1.0,0.0,0.0,0.0,0.0,0.051,0.333
DAVISTON,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVIT,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVITA,F,0.192,1.0,0.0,0.0,0.0,0.0,0.064,0.333
DAVJOT,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVLYN,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVMANEY,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVNEET,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVNEET,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVNN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVON,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVON,M,0.462,1.25,0.0,0.0,0.0,0.0,0.154,0.417
DAVONE,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVONN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVONNA,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVONNAE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVONNE,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAVONTE,M,0.077,1.0,0.0,0.0,0.0,0.0,0.026,0.333
DAVONTÉ,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVONTÉ,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVOR,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVRAM,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVRAN,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVRIE,F,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
DAVRIK,M,0.038,1.0,0.0,0.0,0.0,0.0,0.013,0.333
