name,gender,AB_avgVal,BC_avgVal,OT_avgVal,CN_avgVal,NI_avgVal,SC_avgVal,EW_avgVal,UK_avgVal,13_avgVal,BS_avgVal,FS_avgVal,PC_avgVal,TE_avgVal,USA_avgVal,VR_avgVal
FLO,F,0.0,0.0,0.0,0.0,0.0,1.2,8.69,3.297,6.06,5.95,0.0,0.0,5.3,24.87,0.0
FLOR,F,1.0,0.0,0.0,0.333,0.0,1.0,0.0,0.333,6.42,6.84,7.23,14.79,9.8,94.41,0.0
FLORA,F,2.68,7.2,43.0,17.627,0.0,9.85,95.2,35.017,19.0,12.66,7.67,10.66,31.5,496.32,7.42
FLORENCE,F,2.35,25.74,525.0,184.363,6.25,8.51,741.1,251.953,99.36,97.22,21.83,30.41,42.53,2460.79,20.6
FLORENCIA,F,1.0,0.0,0.0,0.333,0.0,1.0,3.5,1.5,5.0,6.0,0.0,6.22,6.18,13.5,0.0
FLORENCIO,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.67,7.94,9.19,26.46,0.0
FLORENTINA,F,1.0,0.0,0.0,0.333,0.0,1.0,4.33,1.777,0.0,0.0,0.0,5.7,7.06,10.43,0.0
FLORENTINE,F,0.0,0.0,0.0,0.0,0.0,1.0,3.2,1.4,5.5,5.4,0.0,0.0,0.0,13.32,0.0
FLORENTINO,M,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,6.0,6.0,6.0,7.28,9.75,28.04,0.0
FLORETTA,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,6.0,0.0,5.0,6.16,24.08,0.0
FLORETTE,F,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,9.68,0.0
FLORIA,F,1.0,0.0,0.0,0.333,0.0,1.0,4.0,1.667,5.72,0.0,0.0,0.0,5.56,20.49,0.0
FLORIAN,M,1.0,0.0,7.0,2.667,0.0,1.11,9.39,3.5,7.47,7.46,0.0,5.0,6.0,28.94,0.0
FLORIDA,F,1.0,0.0,9.0,3.333,0.0,1.0,0.0,0.333,5.6,0.0,0.0,0.0,6.83,34.58,0.0
FLORIN,M,1.0,0.0,0.0,0.333,0.0,1.0,6.27,2.423,0.0,0.0,0.0,0.0,0.0,5.67,0.0
FLORINA,F,1.0,0.0,0.0,0.333,0.0,1.5,4.0,1.833,0.0,0.0,0.0,0.0,0.0,7.05,0.0
FLORINE,F,0.0,0.0,5.0,1.667,0.0,0.0,0.0,0.0,8.78,7.11,5.5,6.94,11.1,111.41,0.0
FLORRIE,F,1.0,0.0,0.0,0.333,0.0,1.33,17.0,6.11,8.88,0.0,0.0,0.0,6.5,18.51,0.0
FLOSSIE,F,0.0,0.0,19.0,6.333,0.0,0.0,6.0,2.0,14.7,9.58,6.0,5.0,17.18,205.59,0.0
FLOY,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,6.01,0.0,5.75,9.77,74.28,0.0
FLOYD,M,1.29,7.21,33.0,13.833,0.0,2.0,16.32,6.107,29.57,45.78,14.27,18.5,51.34,1129.07,9.19
